time , step-size , {ArduCopter}.ArduCopter.accelerometerX , {ArduCopter}.ArduCopter.accelerometerY , {ArduCopter}.ArduCopter.accelerometerZ , {ArduCopter}.ArduCopter.gpsVelX , {ArduCopter}.ArduCopter.gpsVelY , {ArduCopter}.ArduCopter.gpsVelZ , {ArduCopter}.ArduCopter.gpsX , {ArduCopter}.ArduCopter.gpsY , {ArduCopter}.ArduCopter.gpsZ , {ArduCopter}.ArduCopter.gyroX , {ArduCopter}.ArduCopter.gyroY , {ArduCopter}.ArduCopter.gyroZ , {Ardupilot}.Ardupilot.motor1 , {Ardupilot}.Ardupilot.motor2 , {Ardupilot}.Ardupilot.motor3 , {Ardupilot}.Ardupilot.motor4
13.5375 , 0.0024999999999995026 , 1.5917974274113356E-15 , 9.325721304894208E-15 , 355.92117777011043 , -3.367042079741991E-15 , -8.582884069888495E-16 , -1.5542013987599685 , -2.5158412687751018E-14 , -1.0987862259578369E-14 , -5.1131104376107155 , -2.809933221314184E-11 , -2.9148851998252496E-12 , 1.1678892534130009E-12 , 42.787023527316336 , 42.78702352731625 , 42.78702352731625 , 42.787023527316336
13.54 , 0.0024999999999995026 , 1.6691312329892288E-15 , 8.341611845430811E-15 , 355.59051656730736 , -3.367002089875823E-15 , -8.58071108947211E-16 , -1.5454840195079929 , -2.5166830243357677E-14 , -1.0990007703934512E-14 , -5.116985042802089 , -4.1073430427236766E-11 , -2.532320004600129E-12 , 1.2081870847256555E-12 , 42.76480612782649 , 42.76480612782652 , 42.76480612782652 , 42.76480612782649
13.5425 , 0.002500000000001279 , 1.7348625611531627E-15 , 7.071392043071803E-15 , 355.9085815791892 , -3.366960355275531E-15 , -8.57881840632901E-16 , -1.5367652473254583 , -2.5175247696748918E-14 , -1.099215263861437E-14 , -5.120837856118858 , -4.7370563429040427E-11 , -2.2740173883501584E-12 , 1.2141592980015974E-12 , 42.73697816909478 , 42.736978169094954 , 42.736978169094954 , 42.73697816909478
13.545 , 0.0024999999999995026 , 1.7974178162797804E-15 , 5.763502146083493E-15 , 356.31523874549856 , -3.3669170650501984E-15 , -8.577248119955326E-16 , -1.5280369971629542 , -2.5183665043843557E-14 , -1.0994297140220042E-14 , -5.124668861087214 , -4.3019077893972236E-11 , -2.2348255992254576E-12 , 1.1658670123774067E-12 , 42.70329391797273 , 42.703293917972985 , 42.70329391797301 , 42.70329391797273
13.5475 , 0.0024999999999995026 , 1.859155220873947E-15 , 4.7433181801962294E-15 , 356.7101467809027 , -3.366872254446319E-15 , -8.575969683345477E-16 , -1.5192990109771882 , -2.5192082280807944E-14 , -1.0996441287205098E-14 , -5.1284780332086095 , -2.7086609057748E-11 , -2.2372989244944835E-12 , 1.1155177762156094E-12 , 40.81776927528469 , 40.817769275284974 , 40.817769275285 , 40.81776927528469
13.55 , 0.002500000000001279 , 1.8873503290142104E-15 , 4.224606368390379E-15 , 369.39752203720855 , -3.3668262402758306E-15 , -8.574882096583861E-16 , -1.5104389091995523 , -2.5200499404051887E-14 , -1.0998585140974858E-14 , -5.132265276650912 , -3.0035737373064188E-12 , -2.4983624791499123E-12 , 9.68630677949988E-13 , 40.82246699233505 , 40.822466992335336 , 40.822466992335364 , 40.82246699233505
13.5525 , 0.0024999999999995026 , 1.9248792042035487E-15 , 4.4441368394099094E-15 , 380.704669442735 , -3.3667796095959327E-15 , -8.57383687709286E-16 , -1.501220620319095 , -2.5208916411554768E-14 , -1.1000728731969158E-14 , -5.136029908839701 , 2.488991374512125E-11 , -2.7890119373738723E-12 , 8.138002133656365E-13 , 40.82146248096859 , 40.821462480968734 , 40.82146248096879 , 40.82146248096859
13.555 , 0.0024999999999995026 , 2.0013079874532195E-15 , 5.481975570383297E-15 , 381.80503990941213 , -3.366731554603818E-15 , -8.572636031509324E-16 , -1.4918636294235599 , -2.5217333300901336E-14 , -1.1002872046406031E-14 , -5.139771269080086 , 5.1160284433349095E-11 , -3.1881382715593556E-12 , 6.286055370687301E-13 , 40.81481909231286 , 40.81481909231286 , 40.81481909231289 , 40.81481909231286
13.5575 , 0.0024999999999995026 , 2.0997050869414337E-15 , 7.112616163029923E-15 , 380.464809431939 , -3.366681326336257E-15 , -8.571100856217498E-16 , -1.4825227084868122 , -2.5225750067506117E-14 , -1.1005015021873494E-14 , -5.143489244986992 , 6.596488761243064E-11 , -3.726832150285482E-12 , 4.095120272347362E-13 , 40.804393758016346 , 40.804393758016175 , 40.804393758016175 , 40.804393758016346
13.56 , 0.002500000000001279 , 2.205236638972497E-15 , 8.9359514267734E-15 , 380.044871565131 , -3.366628572158462E-15 , -8.569133443688654E-16 , -1.4732048628950951 , -2.523416670541791E-14 , -1.1007157560505847E-14 , -5.147183902393875 , 6.515914578478178E-11 , -3.868054493964412E-12 , 3.093652367388538E-13 , 40.79001373852984 , 40.790013738529495 , 40.790013738529495 , 40.79001373852984
